data;

param numFacilities := 25;
param numCustomers := 60;

param : costs capacities facilityXs facilityYs :=
0 8857 4660 37132.825000 50693.167500
1 8166 6535 105703.765000 47320.605000
2 7991 3981 14264.475000 58201.555000
3 7920 6402 128682.377500 10847.232500
4 7878 4737 167135.672500 116295.345000
5 7387 4502 168618.572500 113010.207500
6 9682 6455 98580.095000 82052.625000
7 9592 5304 135960.707500 145062.812500
8 6695 4675 52839.530000 168644.917500
9 8071 5715 100452.772500 51217.010000
10 7694 5134 115112.172500 189951.580000
11 9322 4237 0.000000 100935.602500
12 8845 5427 51433.895000 143974.980000
13 7116 4980 76508.665000 10334.630000
14 7679 4700 151293.370000 90481.720000
15 8372 6003 119146.597500 70442.300000
16 8086 4031 64178.427500 185299.877500
17 7707 4155 67290.550000 94720.690000
18 7751 4734 140442.182500 59523.580000
19 9022 6108 137629.915000 48950.765000
20 9076 3818 23686.627500 86709.590000
21 9308 4784 172711.727500 8928.447500
22 8765 5971 32391.272500 194653.105000
23 8236 3986 43877.297500 24212.260000
24 6199 5120 126447.155000 198321.012500;

param : demands customerXs customerYs :=
0 819 58441.817500 115301.242500
1 603 88461.382500 29670.632500
2 665 79046.320000 46123.360000
3 509 185522.910000 88497.610000
4 1071 54090.200000 110776.817500
5 421 52019.330000 3591.665000
6 698 13769.327500 156899.970000
7 852 107357.552500 48924.080000
8 673 36850.495000 179393.147500
9 739 97600.852500 108199.020000
10 569 46519.137500 2278.310000
11 626 32945.982500 189467.525000
12 542 144520.322500 159591.617500
13 622 180159.855000 4270.917500
14 607 75926.327500 129818.757500
15 505 131132.262500 121878.122500
16 691 120212.385000 126162.927500
17 799 82423.395000 90630.820000
18 397 79281.562500 174183.252500
19 675 52866.207500 181108.612500
20 655 44318.457500 59052.015000
21 627 57966.372500 5717.582500
22 532 184845.740000 108149.895000
23 741 196619.960000 189405.975000
24 630 2543.322500 72859.140000
25 680 166637.007500 119299.230000
26 815 163380.680000 173423.027500
27 777 75747.582500 154363.432500
28 818 108429.922500 187398.962500
29 588 88253.360000 91513.262500
30 882 20333.282500 167865.547500
31 921 13326.370000 36276.602500
32 534 88579.112500 175129.305000
33 655 130405.730000 87903.417500
34 1000 156161.527500 173117.515000
35 731 170453.467500 151536.345000
36 729 118998.997500 128441.465000
37 775 31918.337500 41308.675000
38 584 154998.475000 26786.152500
39 693 147329.172500 52823.922500
40 856 188753.675000 113933.982500
41 1068 112031.482500 55257.495000
42 757 160023.265000 152017.317500
43 536 32984.942500 12755.752500
44 830 67257.162500 45760.637500
45 800 22848.545000 87805.420000
46 660 167016.960000 77168.950000
47 726 6437.162500 38474.737500
48 705 122456.725000 146681.692500
49 594 160665.147500 67633.627500
50 996 32309.855000 148843.392500
51 589 150253.370000 45861.012500
52 543 135348.620000 57694.567500
53 736 138355.665000 141724.297500
54 587 196101.172500 186023.222500
55 806 40314.025000 52555.042500
56 989 183704.187500 172441.997500
57 635 98261.802500 96743.012500
58 400 9950.455000 76812.420000
59 738 51027.827500 109093.605000;

end;
