data;

param numFacilities := 6;
param numCustomers := 72;

param : costs capacities facilityXs facilityYs :=
0 709 40379 0.161743 0.059973
1 743 22550 0.726819 0.420945
2 766 24581 0.284548 0.426950
3 825 19555 0.546327 0.451021
4 650 39354 0.627046 0.974887
5 524 52476 0.199476 0.730784;

param : demands customerXs customerYs :=
0 4364 0.336212 0.414558
1 317 0.354486 0.119989
2 1584 0.501923 0.633327
3 2594 0.533359 0.979771
4 1034 0.081984 0.303091
5 1106 0.290628 0.866376
6 4825 0.419244 0.882622
7 3889 0.653150 0.391671
8 976 0.362243 0.583439
9 311 0.942863 0.555059
10 1359 0.546317 0.215013
11 3775 0.852946 0.750513
12 1323 0.038290 0.843614
13 3806 0.804030 0.034898
14 4139 0.686865 0.457195
15 3798 0.313590 0.482428
16 1556 0.390377 0.371520
17 4231 0.221343 0.034428
18 4850 0.981208 0.772998
19 2114 0.797891 0.497480
20 4428 0.740753 0.392457
21 1046 0.484942 0.263515
22 2156 0.497634 0.390273
23 3027 0.316474 0.377759
24 4059 0.704607 0.159295
25 2179 0.646996 0.124528
26 1463 0.454267 0.597580
27 1601 0.566777 0.873361
28 4007 0.330776 0.579502
29 2977 0.320379 0.417789
30 3373 0.967596 0.514680
31 1721 0.147301 0.748249
32 3514 0.911353 0.788883
33 1612 0.452609 0.463717
34 4562 0.239569 0.833356
35 4224 0.521925 0.985283
36 2193 0.732853 0.104998
37 4340 0.399729 0.297688
38 2212 0.436283 0.420215
39 3790 0.323080 0.454950
40 807 0.673329 0.999180
41 3406 0.551922 0.251335
42 4133 0.448018 0.736609
43 2043 0.650584 0.021600
44 2853 0.448626 0.905400
45 2215 0.613066 0.162006
46 3311 0.480339 0.517686
47 1435 0.190494 0.806037
48 4867 0.167655 0.516759
49 3851 0.141235 0.614139
50 4044 0.422788 0.463171
51 4880 0.443965 0.184902
52 4400 0.415454 0.373688
53 1781 0.653109 0.385229
54 2267 0.193602 0.247204
55 2406 0.272690 0.381755
56 12 0.809353 0.179085
57 4659 0.764193 0.528066
58 4658 0.176063 0.710497
59 802 0.704099 0.658347
60 2601 0.370491 0.011095
61 2094 0.688492 0.889457
62 3056 0.473010 0.351625
63 4644 0.209445 0.409037
64 4022 0.375323 0.252544
65 754 0.656813 0.951899
66 3707 0.791845 0.239886
67 106 0.839425 0.527072
68 4400 0.405182 0.929768
69 308 0.527275 0.333208
70 559 0.482300 0.570637
71 3379 0.431915 0.008688;

end;
