data;

param numFacilities := 4;
param numCustomers := 30;

param : costs capacities facilityXs facilityYs :=
0 1568 14826 8.474702 11.174275
1 2684 25930 207.960399 141.426743
2 3316 26618 205.951269 213.973418
3 2189 24649 10.923232 193.359598;

param : demands customerXs customerYs :=
0 4573 0.946902 0.837781
1 4429 0.733926 0.717202
2 236 0.205445 0.242561
3 2384 0.398594 0.496157
4 3844 0.494041 0.408599
5 1375 0.452871 0.382815
6 2011 0.155824 0.306748
7 4280 0.773722 0.014707
8 1783 0.925048 0.792715
9 306 0.050571 0.828876
10 3374 0.861618 0.451028
11 3578 0.833191 0.324633
12 391 0.529520 0.430286
13 1695 0.326673 0.388513
14 220 0.014590 0.581270
15 3234 0.432989 0.117051
16 1040 0.344692 0.011926
17 1124 0.048052 0.233600
18 4662 0.083572 0.909813
19 4622 0.908708 0.479778
20 120 0.293786 0.240643
21 4367 0.479489 0.797414
22 1544 0.690812 0.225039
23 4973 0.071074 0.391873
24 3989 0.142230 0.111504
25 705 0.512003 0.649694
26 4646 0.481696 0.724500
27 3105 0.485284 0.521741
28 3822 0.329747 0.786112
29 2757 0.369856 0.799687;

end;
